Comment,Designator,Footprint,LCSC Part #
.1uf,C4 C5 C6,C0805K,
.5A hold PTC fuse,F2,1812,
1.1A hold PTC fuse,F3,1812,
1.1A hold PTC fuse ,F1,1812,
1.2k,R3,R0805,
1k,R1,R0805,
47uf,C1 C2 C3,PANASONIC_D,
330,R2,R0805,
BLUE,D1,LED-0603,
GREEN,D2,LED-0603,
RED,D3,LED-0603,
header,JP1 JP2 JP3 JP4 JP5 JP6 JP7 JP8,2X08_SMT,
